frame.number;_ws.col.Time;_ws.col.Source;_ws.col.Destination;_ws.col.Protocol;_ws.col.Length;_ws.col.Info
20206;1250.069726;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2181
20207;1250.069881;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2181
20208;1250.081626;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2182
20209;1250.081757;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2182
20210;1250.093576;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2183
20211;1250.093827;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2183
20212;1250.105601;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2184
20213;1250.105783;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2184
20214;1250.117499;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2185
20215;1250.117610;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2185
20216;1250.128420;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2186
20217;1250.128582;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2186
20218;1250.139374;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2187
20219;1250.139525;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2187
20220;1250.150532;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2188
20221;1250.150621;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2188
20222;1250.161613;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2189
20223;1250.161769;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2189
20224;1250.173340;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2190
20225;1250.173436;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2190
20226;1250.184218;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2191
20227;1250.184313;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2191
20228;1250.195244;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2192
20229;1250.195337;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2192
20230;1250.206660;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2193
20231;1250.206856;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2193
20232;1250.218183;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2194
20233;1250.218273;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2194
20234;1250.229309;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2195
20235;1250.229549;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2195
